,Sea level (cm)
2023-03-21,194.6241134751773
2023-03-22,201.354609929078
2023-03-23,203.95804195804195
2023-03-24,204.99290780141843
2023-03-25,201.82638888888889
2023-03-26,190.35915492957747
2023-03-27,192.40425531914894
2023-03-28,191.12857142857143
2023-03-29,193.95238095238096
2023-03-30,189.21678321678323
2023-03-31,188.44827586206895
2023-04-01,185.84615384615384
2023-04-02,191.58333333333334
2023-04-03,192.30281690140845
2023-04-04,188.97122302158274
2023-04-05,196.34722222222223
2023-04-06,194.2605633802817
2023-04-07,192.26666666666668
2023-04-08,197.2112676056338
2023-04-09,192.8041958041958
2023-04-10,181.6595744680851
2023-04-11,182.08219178082192
2023-04-12,154.94117647058823
2023-04-13,182.59420289855072
2023-04-14,186.8892857142857
2023-04-15,194.42857142857142
2023-04-16,191.57142857142858
2023-04-17,194.0427046263345
2023-04-18,198.25
2023-04-19,203.5071942446043
2023-04-20,207.82014388489208
2023-04-21,204.15331010452962
2023-04-22,205.61567164179104
2023-04-23,209.67148014440434
2023-04-24,209.70422535211267
2023-04-25,208.26164874551972
2023-04-26,202.70758122743683
2023-04-27,205.89818181818183
2023-04-28,204.70357142857142
2023-04-29,202.5609756097561
2023-04-30,200.91843971631207
2023-05-01,207.30526315789473
2023-05-02,207.43214285714285
2023-05-03,212.2
2023-05-04,206.07801418439718
2023-05-05,205.30526315789473
2023-05-06,208.57761732851986
2023-05-07,201.85357142857143
2023-05-08,199.8166089965398
2023-05-09,197.69337979094075
2023-05-10,209.01045296167248
2023-05-11,218.0530035335689
2023-05-12,216.22299651567945
2023-05-13,218.64285714285714
2023-05-14,215.13427561837455
2023-05-15,216.12937062937064
2023-05-16,219.59717314487634
2023-05-17,203.7719298245614
2023-05-18,185.4
2023-05-19,178.0625
2023-05-20,178.9387755102041
2023-05-21,185.1891891891892
2023-05-22,179.74647887323943
2023-05-23,174.32167832167832
2023-05-24,174.54430379746836
2023-05-25,180.6081081081081
2023-05-26,179.58156028368793
2023-05-27,179.75432525951558
2023-05-28,182.04626334519574
2023-05-29,180.45744680851064
2023-05-30,185.92226148409895
2023-05-31,187.01388888888889
2023-06-01,188.75874125874125
2023-06-02,186.22837370242215
2023-06-03,189.3581560283688
2023-06-04,185.33450704225353
2023-06-05,185.1157894736842
2023-06-06,184.71428571428572
2023-06-07,177.2280701754386
2023-06-08,170.00709219858157
2023-06-09,168.64084507042253
2023-06-10,170.4842105263158
2023-06-11,171.7972027972028
2023-06-12,182.56028368794327
2023-06-13,171.0035335689046
2023-06-14,167.51736111111111
2023-06-15,162.23263888888889
2023-06-16,164.71929824561403
2023-06-17,161.0
2023-06-18,174.17132867132867
2023-06-19,175.54285714285714
2023-06-20,161.92226148409895
2023-06-21,159.73376623376623
2023-06-22,160.13496932515338
2023-06-23,164.07253886010363
2023-06-24,171.4757281553398
2023-06-25,181.79888268156424
2023-06-26,179.81443298969072
2023-06-27,174.94859813084113
2023-06-28,169.3314917127072
2023-06-29,167.36708860759492
2023-06-30,167.33969465648855
2023-07-01,165.49458483754512
2023-07-02,166.58131487889273
2023-07-03,160.52296819787986
2023-07-04,163.43589743589743
2023-07-05,163.14788732394365
2023-07-06,166.45488721804512
2023-07-07,170.12363636363636
2023-07-08,172.56428571428572
2023-07-09,184.15986394557822
2023-07-10,182.44169611307422
2023-07-11,189.66202090592336
2023-07-12,174.44718309859155
2023-07-13,169.35664335664336
2023-07-14,166.8095238095238
2023-07-15,174.40939597315437
2023-07-16,176.71428571428572
2023-07-17,180.6955017301038
2023-07-18,180.54761904761904
2023-07-19,169.93835616438355
2023-07-20,169.3986013986014
2023-07-21,168.4163822525597
2023-07-22,171.13148788927336
2023-07-23,175.77372262773721
2023-07-24,176.5
2023-07-25,176.79513888888889
2023-07-26,173.8661971830986
2023-07-27,171.4055944055944
2023-07-28,169.92068965517242
2023-07-29,178.00346020761245
2023-07-30,168.93771626297578
2023-07-31,176.05555555555554
2023-08-01,184.20138888888889
2023-08-02,188.61888111888112
2023-08-03,187.6401384083045
2023-08-04,188.15384615384616
2023-08-05,179.16783216783216
2023-08-06,180.16376306620208
2023-08-07,180.89198606271776
2023-08-08,179.57142857142858
2023-08-09,195.24125874125875
2023-08-10,169.7032967032967
2023-08-11,168.78397212543555
2023-08-12,183.6048951048951
2023-08-13,168.85314685314685
2023-08-14,171.64310954063603
2023-08-15,175.42307692307693
2023-08-16,180.97894736842105
2023-08-17,181.0
2023-08-18,178.33566433566435
2023-08-19,185.61111111111111
2023-08-20,186.91785714285714
2023-08-21,177.21527777777777
2023-08-22,169.43816254416961
2023-08-23,169.78321678321677
2023-08-24,167.36013986013987
2023-08-25,178.19572953736656
2023-08-26,156.8048780487805
2023-08-27,165.47916666666666
2023-08-28,162.91228070175438
2023-08-29,156.75531914893617
2023-08-30,157.49295774647888
2023-08-31,158.30313588850174
2023-09-01,160.70138888888889
2023-09-02,162.37630662020905
2023-09-03,163.12891986062718
2023-09-04,164.48601398601397
2023-09-05,150.92631578947368
2023-09-06,157.9965034965035
2023-09-07,146.3801652892562
2023-09-08,154.76433121019107
2023-09-09,146.01183431952663
2023-09-10,149.93627450980392
2023-09-11,148.74885844748857
2023-09-12,148.71859296482413
2023-09-13,153.78682170542635
2023-09-14,158.6
2023-09-15,161.75
2023-09-16,164.73658536585367
2023-09-17,166.46534653465346
2023-09-18,165.87373737373738
2023-09-19,166.38805970149255
2023-09-20,164.69607843137254
2023-09-21,172.3718592964824
2023-09-22,156.64824120603015
2023-09-23,154.82631578947368
2023-09-24,157.48039215686273
2023-09-25,157.76984126984127
2023-09-26,155.8498023715415
2023-09-27,160.9809885931559
2023-09-28,170.07035175879398
2023-09-29,177.28333333333333
2023-09-30,166.97560975609755
2023-10-01,166.125
2023-10-02,173.25352112676057
2023-10-03,172.47552447552448
2023-10-04,172.28472222222223
2023-10-05,179.67832167832168
2023-10-06,168.04225352112675
2023-10-07,161.006993006993
2023-10-08,173.79166666666666
2023-10-09,179.0
2023-10-10,167.82269503546098
2023-10-11,180.3758865248227
2023-10-12,177.53146853146853
2023-10-13,170.8951048951049
2023-10-14,173.58333333333334
2023-10-15,176.8661971830986
2023-10-16,176.3450704225352
2023-10-17,179.13194444444446
2023-10-18,175.95833333333334
2023-10-19,176.7972027972028
2023-10-20,159.07638888888889
2023-10-21,177.74305555555554
2023-10-22,174.01388888888889
2023-10-23,162.26573426573427
2023-10-24,171.76923076923077
2023-10-25,168.82638888888889
2023-10-26,167.020979020979
2023-10-27,175.64367816091954
2023-10-28,180.45454545454547
2023-10-29,172.46666666666667
2023-10-30,169.80208333333334
2023-10-31,175.9248120300752
2023-11-01,181.9318181818182
2023-11-02,170.10588235294117
2023-11-03,168.76404494382024
2023-11-04,171.275
2023-11-05,170.52830188679246
2023-11-06,173.54736842105262
2023-11-07,170.37254901960785
2023-11-08,171.13306451612902
2023-11-09,168.62447257383965
2023-11-10,169.08695652173913
2023-11-11,173.55335968379447
2023-11-12,179.03755868544602
2023-11-13,178.26639344262296
2023-11-14,176.18067226890756
2023-11-15,176.3390557939914
2023-11-16,180.73706896551724
2023-11-17,180.0695652173913
2023-11-18,177.53636363636363
2023-11-19,185.41176470588235
2023-11-20,185.92760180995475
2023-11-21,184.96062992125985
2023-11-22,193.0759493670886
2023-11-23,185.23430962343096
2023-11-24,183.97590361445782
2023-11-25,182.76233183856502
2023-11-26,174.08173076923077
2023-11-27,163.14222222222222
2023-11-28,164.05574912891987
2023-11-29,172.9547038327526
2023-11-30,174.03819444444446
2023-12-01,155.64788732394365
2023-12-02,168.99303135888502
2023-12-03,174.88194444444446
2023-12-04,161.01052631578946
2023-12-05,169.85664335664336
2023-12-06,168.27777777777777
2023-12-07,164.0766550522648
2023-12-08,161.1013986013986
2023-12-09,159.21254355400697
2023-12-10,157.50877192982455
2023-12-11,160.64583333333334
2023-12-12,167.7177700348432
2023-12-13,154.30633802816902
2023-12-14,165.1121076233184
2023-12-15,160.78472222222223
2023-12-16,166.59027777777777
2023-12-17,165.5874125874126
2023-12-18,166.8111888111888
2023-12-19,166.26573426573427
2023-12-20,157.74305555555554
2023-12-21,159.21527777777777
2023-12-22,154.44444444444446
2023-12-23,151.72727272727272
2023-12-24,156.9857142857143
2023-12-25,155.98387096774192
2023-12-26,152.1159420289855
2023-12-27,154.05479452054794
2023-12-28,145.9878048780488
2023-12-29,150.57142857142858
2023-12-30,164.06521739130434
2023-12-31,161.67142857142858
2024-01-01,158.82608695652175
2024-01-02,157.25
2024-01-03,156.92307692307693
2024-01-04,171.89830508474577
2024-01-05,169.66
2024-01-06,174.56410256410257
2024-01-07,170.58823529411765
2024-01-08,166.40384615384616
2024-01-09,166.78504672897196
2024-01-10,161.29861111111111
2024-01-11,167.48951048951048
2024-01-12,163.85314685314685
2024-01-13,163.22641509433961
2024-01-14,177.60283687943263
2024-01-15,176.18055555555554
2024-01-16,178.14583333333334
2024-01-17,176.61434977578475
2024-01-18,172.6724738675958
2024-01-19,162.56842105263158
2024-01-20,163.52845528455285
2024-01-21,161.22222222222223
2024-01-22,161.27272727272728
2024-01-23,159.75694444444446
2024-01-24,169.46031746031747
2024-01-25,168.44755244755245
2024-01-26,173.74825174825176
2024-01-27,166.77777777777777
2024-01-28,173.25352112676057
2024-01-29,172.59722222222223
2024-01-30,176.69014084507043
2024-01-31,177.02189781021897
2024-02-01,173.6875
2024-02-02,168.37762237762237
2024-02-03,167.8041958041958
2024-02-04,162.84397163120568
2024-02-05,162.6853146853147
2024-02-06,166.94405594405595
2024-02-07,164.54929577464787
2024-02-08,171.31205673758865
2024-02-09,181.7887323943662
2024-02-10,181.04255319148936
2024-02-11,172.79166666666666
2024-02-12,178.25874125874125
2024-02-13,175.76760563380282
2024-02-14,177.979020979021
2024-02-15,176.51048951048952
2024-02-16,174.44055944055944
2024-02-17,175.84172661870502
2024-02-18,169.42253521126761
2024-02-19,172.75524475524475
2024-02-20,170.5611510791367
2024-02-21,171.28275862068966
2024-02-22,165.44444444444446
2024-02-23,160.92307692307693
2024-02-24,168.00704225352112
2024-02-25,166.05633802816902
2024-02-26,164.46853146853147
2024-02-27,164.93103448275863
2024-02-28,155.75524475524475
2024-02-29,171.4
2024-03-01,165.0909090909091
